state,year,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Colorado,1996,352.84,3.5440999E7,373.78,3.8133641E7,-20.94,-2692642.0,20.94,2692642.0
Maine,1991,342.91,1.8149043E7,322.06,1.388866E7,20.85,4260383.0,20.85,4260383.0
Tennessee,2025,423.3,1.45002052E8,402.49,1.42090858E8,20.81,2911194.0,20.81,2911194.0
Montana,2011,405.39,2.3528194E7,426.15,2.2578562E7,-20.76,949632.0,20.76,949632.0
Idaho,1993,368.72,1.0817964E7,389.48,1.0350677E7,-20.76,467287.0,20.76,467287.0
Missouri,1997,334.7,6.3697649E7,355.44,8.1052194E7,-20.74,-1.7354545E7,20.74,1.7354545E7
New Jersey,2019,308.55,1.00068036E8,287.84,1.07307429E8,20.71,-7239393.0,20.71,7239393.0
Arkansas,2012,390.26,8.6418404E7,410.96,8.7679614E7,-20.7,-1261210.0,20.7,1261210.0
Texas,2012,423.39,7.04446515E8,444.06,7.28924062E8,-20.67,-2.4477547E7,20.67,2.4477547E7
Florida,1996,373.22,2.17342509E8,393.84,2.31570007E8,-20.62,-1.4227498E7,20.62,1.4227498E7
Rhode Island,2011,379.28,3.374766E7,399.86,3.0821588E7,-20.58,2926072.0,20.58,2926072.0
New Hampshire,1997,282.24,5664961.0,302.69,6941912.0,-20.45,-1276951.0,20.45,1276951.0
North Dakota,2001,267.99,4293527.0,288.42,4026641.0,-20.43,266886.0,20.43,266886.0
Alabama,1993,395.34,8.5703979E7,415.76,8.7794879E7,-20.42,-2090900.0,20.42,2090900.0
Minnesota,1991,345.1,4.219387E7,324.74,3.5910196E7,20.36,6283674.0,20.36,6283674.0
Maine,1993,341.86,2.0865113E7,362.2,2.1363232E7,-20.34,-498119.0,20.34,498119.0
Colorado,2022,506.49,1.43817677E8,526.82,1.40451992E8,-20.33,3365685.0,20.33,3365685.0
Arkansas,1993,367.76,3.9365901E7,388.08,4.0227465E7,-20.32,-861564.0,20.32,861564.0
Virgin Islands,1997,663.6,3993077.0,683.9,4854631.0,-20.3,-861554.0,20.3,861554.0
Indiana,2013,401.7,1.67169018E8,421.98,1.71069733E8,-20.28,-3900715.0,20.28,3900715.0
Virginia,2002,295.42,4.7416663E7,275.15,4.1593525E7,20.27,5823138.0,20.27,5823138.0
Minnesota,1990,324.74,3.5910196E7,304.54,3.0219451E7,20.2,5690745.0,20.2,5690745.0
Wisconsin,1998,283.76,2.0883923E7,303.92,2.540924E7,-20.16,-4525317.0,20.16,4525317.0
Florida,1992,452.41,2.61579609E8,432.33,1.9180933E8,20.08,6.9770279E7,20.08,6.9770279E7
Arizona,2010,443.11,1.99043502E8,463.17,1.72510608E8,-20.06,2.6532894E7,20.06,2.6532894E7
Oregon,1993,357.48,4.4433845E7,377.53,4.3976548E7,-20.05,457297.0,20.05,457297.0
Georgia,2018,349.39,2.4830163E8,369.43,2.75803106E8,-20.04,-2.7501476E7,20.04,2.7501476E7
North Dakota,1990,357.53,5331431.0,337.49,4839529.0,20.04,491902.0,20.04,491902.0
Vermont,1990,277.76,4912830.0,257.74,4000888.0,20.02,911942.0,20.02,911942.0
Missouri,1990,394.64,6.7482156E7,374.63,5.8406306E7,20.01,9075850.0,20.01,9075850.0
Illinois,2000,334.7,1.09211997E8,354.71,1.24030685E8,-20.01,-1.4818688E7,20.01,1.4818688E7
Wisconsin,1997,303.92,2.540924E7,323.93,3.2555011E7,-20.01,-7145771.0,20.01,7145771.0
Maine,2000,246.18,1.2730779E7,266.19,1.4206652E7,-20.01,-1475873.0,20.01,1475873.0
Alaska,2001,556.46,7774002.0,536.46,7196989.0,20.0,577013.0,20.0,577013.0
Oklahoma,2002,341.36,4.6852528E7,321.39,3.7772216E7,19.97,9080312.0,19.97,9080312.0
New York,2001,316.45,2.13367392E8,296.49,2.11310201E8,19.96,2057191.0,19.96,2057191.0
Virgin Islands,2016,487.16,6332978.0,507.11,6476997.0,-19.95,-144019.0,19.95,144019.0
South Carolina,2014,359.39,1.39726056E8,379.32,1.57640844E8,-19.93,-1.7914788E7,19.93,1.7914788E7
Utah,2010,451.51,4.6601173E7,471.43,3.7922854E7,-19.92,8678319.0,19.92,8678319.0
Mississippi,2018,313.93,7.1195785E7,333.76,8.0692596E7,-19.83,-9496811.0,19.83,9496811.0
South Carolina,2022,540.06,1.63856495E8,559.88,1.66297458E8,-19.82,-2440963.0,19.82,2440963.0
Kentucky,2017,335.31,1.02461299E8,355.1,1.08909935E8,-19.79,-6448636.0,19.79,6448636.0
Texas,1993,431.39,4.2583553E8,451.17,4.13723148E8,-19.78,1.2112382E7,19.78,1.2112382E7
Wyoming,2017,360.94,5001803.0,380.65,5505182.0,-19.71,-503379.0,19.71,503379.0
Vermont,2014,308.41,1.447285E7,328.12,1.7227069E7,-19.71,-2754219.0,19.71,2754219.0
Louisiana,2002,401.53,9.3684551E7,381.85,7.8053311E7,19.68,1.563124E7,19.68,1.563124E7
Kentucky,2002,334.65,6.4243773E7,315.04,5.5532869E7,19.61,8710904.0,19.61,8710904.0
Oklahoma,2012,396.78,1.11452357E8,416.38,1.14504127E8,-19.6,-3051770.0,19.6,3051770.0
New Mexico,2011,423.96,7.8009025E7,443.52,7.0265799E7,-19.56,7743226.0,19.56,7743226.0
Kansas,1996,320.81,2.2628037E7,340.34,2.5236297E7,-19.53,-2608260.0,19.53,2608260.0
Idaho,2006,362.7,1.3289522E7,382.2,1.4234215E7,-19.5,-944693.0,19.5,944693.0
New Mexico,2016,357.75,7.8397616E7,377.24,7.8280092E7,-19.49,117524.0,19.49,117524.0
Illinois,2013,381.11,3.8855158E8,400.6,3.76724331E8,-19.49,1.1827249E7,19.49,1.1827249E7
New Hampshire,2011,360.15,1.9690531E7,379.59,1.9449417E7,-19.44,241114.0,19.44,241114.0
New York,2011,401.84,6.50093751E8,421.26,6.3437104E8,-19.42,1.5722711E7,19.42,1.5722711E7
Virginia,1993,360.41,8.1715279E7,379.83,8.0510168E7,-19.42,1205111.0,19.42,1205111.0
Michigan,1997,307.93,1.0837717E8,327.34,1.32749501E8,-19.41,-2.4372331E7,19.41,2.4372331E7
Maryland,1990,392.11,4.4122873E7,372.7,3.9726907E7,19.41,4395966.0,19.41,4395966.0
New Jersey,2022,522.49,2.24810733E8,541.88,2.39586454E8,-19.39,-1.4775721E7,19.39,1.4775721E7
New Hampshire,1993,333.94,8635081.0,353.31,8869248.0,-19.37,-234167.0,19.37,234167.0
Connecticut,2000,256.18,2.1317699E7,275.53,2.3878886E7,-19.35,-2561187.0,19.35,2561187.0
Kansas,2003,297.55,2.1481265E7,278.23,1.806917E7,19.32,3412095.0,19.32,3412095.0
Georgia,1997,353.13,9.6330578E7,372.42,1.18865403E8,-19.29,-2.2534825E7,19.29,2.2534825E7
Iowa,2019,312.77,4.4732053E7,293.48,4.7681157E7,19.29,-2949104.0,19.29,2949104.0
Maine,1992,362.2,2.1363232E7,342.91,1.8149043E7,19.29,3214189.0,19.29,3214189.0
District of Columbia,2004,323.92,1.3916705E7,343.13,1.4148403E7,-19.21,-231698.0,19.21,231698.0
Louisiana,2016,400.46,1.77840925E8,381.3,1.48961559E8,19.16,2.8879366E7,19.16,2.8879366E7
Oklahoma,2018,333.35,8.9269178E7,352.5,9.6054811E7,-19.15,-6785633.0,19.15,6785633.0
North Carolina,1993,354.42,9.0524052E7,373.47,9.0365994E7,-19.05,158058.0,19.05,158058.0
New York,2000,296.49,2.11310201E8,315.5,2.35200838E8,-19.01,-2.3890637E7,19.01,2.3890637E7
Alabama,2004,390.31,7.9838309E7,371.3,6.9967676E7,19.01,9870633.0,19.01,9870633.0
Washington,2000,284.59,3.8375916E7,303.56,4.055938E7,-18.97,-2183464.0,18.97,2183464.0
Washington,1990,349.07,4.9478658E7,330.12,4.3756926E7,18.95,5721732.0,18.95,5721732.0
Virgin Islands,2008,600.77,3108979.0,581.85,2794576.0,18.92,314403.0,18.92,314403.0
Michigan,2018,296.12,1.98686127E8,315.0,2.26217633E8,-18.88,-2.7531506E7,18.88,2.7531506E7
Michigan,2000,263.05,7.1505517E7,281.92,8.0490309E7,-18.87,-8984792.0,18.87,8984792.0
Arizona,2018,335.23,1.28487475E8,354.08,1.43908825E8,-18.85,-1.542135E7,18.85,1.542135E7
Florida,2023,338.68,5.72328282E8,319.83,5.18903156E8,18.85,5.3425126E7,18.85,5.3425126E7
Oregon,1996,323.92,4.3415659E7,342.74,4.5456709E7,-18.82,-2041050.0,18.82,2041050.0
Michigan,1994,351.29,1.52001512E8,370.09,1.57244787E8,-18.8,-5243275.0,18.8,5243275.0
Tennessee,2012,382.29,2.48264486E8,401.04,2.47118186E8,-18.75,1146300.0,18.75,1146300.0
Montana,1993,372.11,1.0164602E7,390.85,1.0177695E7,-18.74,-13093.0,18.74,13093.0
Kansas,1989,360.23,1.8321419E7,378.95,1.7575978E7,-18.72,745441.0,18.72,745441.0
Utah,2008,366.12,2.0832207E7,347.43,1.7568164E7,18.69,3264043.0,18.69,3264043.0
Kentucky,2011,395.64,1.53344324E8,414.33,1.49503698E8,-18.69,3840626.0,18.69,3840626.0
Hawaii,2022,905.58,8.3695917E7,924.21,9.9136346E7,-18.63,-1.5440429E7,18.63,1.5440429E7
Connecticut,2004,283.38,2.9441161E7,264.76,2.5428559E7,18.62,4012602.0,18.62,4012602.0
Nevada,1991,406.52,1.2146022E7,388.03,9000460.0,18.49,3145562.0,18.49,3145562.0
North Dakota,2011,412.48,1.1456669E7,430.97,1.1893336E7,-18.49,-436667.0,18.49,436667.0
Florida,1999,306.28,1.30074412E8,324.76,1.38132933E8,-18.48,-8058521.0,18.48,8058521.0
New Jersey,1991,424.45,7.7235468E7,405.98,6.3513862E7,18.47,1.3721606E7,18.47,1.3721606E7
West Virginia,2011,370.72,5.9902231E7,389.17,6.0879934E7,-18.45,-977703.0,18.45,977703.0
South Dakota,1993,398.63,7932569.0,417.06,8133164.0,-18.43,-200595.0,18.43,200595.0
Idaho,2019,326.94,2.0187576E7,308.53,2.1288519E7,18.41,-1100943.0,18.41,1100943.0
New York,2013,374.36,6.43998479E8,392.77,6.54339968E8,-18.41,-1.0341489E7,18.41,1.0341489E7
New Mexico,1997,376.76,2.6610076E7,395.16,3.3862351E7,-18.4,-7252275.0,18.4,7252275.0
Pennsylvania,1990,339.93,1.42678535E8,321.54,1.25864585E8,18.39,1.681395E7,18.39,1.681395E7
Idaho,2021,393.67,2.4592277E7,412.05,2.7660174E7,-18.38,-3067897.0,18.38,3067897.0
Michigan,2001,281.42,8.3172534E7,263.05,7.1505517E7,18.37,1.1667017E7,18.37,1.1667017E7
Nebraska,2002,301.62,1.1662379E7,283.25,9976217.0,18.37,1686162.0,18.37,1686162.0
North Dakota,1997,314.61,4765918.0,332.97,5425176.0,-18.36,-659258.0,18.36,659258.0
Colorado,1997,334.49,2.9461947E7,352.84,3.5440999E7,-18.35,-5979052.0,18.35,5979052.0
Arizona,1993,414.69,7.550966E7,432.97,7.3567876E7,-18.28,1941784.0,18.28,1941784.0
Alabama,2006,358.17,7.8260782E7,376.45,8.4558995E7,-18.28,-6298213.0,18.28,6298213.0
Colorado,2019,337.71,6.7283436E7,319.43,7.1288838E7,18.28,-4005402.0,18.28,4005402.0
Alaska,2008,553.44,1.241998E7,535.2,1.1411212E7,18.24,1008768.0,18.24,1008768.0
Virginia,2011,392.94,1.63685596E8,411.18,1.54751098E8,-18.24,8934498.0,18.24,8934498.0
New York,2003,344.75,2.545132E8,326.52,2.27443686E8,18.23,2.7069514E7,18.23,2.7069514E7
New Jersey,2011,397.38,1.53077231E8,415.57,1.32838184E8,-18.19,2.0239047E7,18.19,2.0239047E7
Nevada,2008,328.76,2.3468269E7,310.59,1.830414E7,18.17,5164129.0,18.17,5164129.0
Colorado,1998,316.34,2.5411699E7,334.49,2.9461947E7,-18.15,-4050248.0,18.15,4050248.0
North Carolina,2014,353.28,2.72590492E8,371.39,2.86932768E8,-18.11,-1.4342276E7,18.11,1.4342276E7
Hawaii,1998,543.42,2.9706977E7,561.46,3.1113427E7,-18.04,-1406450.0,18.04,1406450.0
Virginia,1990,357.75,5.3790608E7,339.71,4.6956413E7,18.04,6834195.0,18.04,6834195.0
District of Columbia,1990,333.12,9261531.0,315.1,8020904.0,18.02,1240627.0,18.02,1240627.0
Minnesota,1999,296.29,2.7723848E7,314.29,3.0471861E7,-18.0,-2748013.0,18.0,2748013.0
New Mexico,2006,356.09,3.3840332E7,374.08,3.5115044E7,-17.99,-1274712.0,17.99,1274712.0
Illinois,1997,362.6,1.5360653E8,380.59,1.76603503E8,-17.99,-2.2996973E7,17.99,2.2996973E7
Virginia,2012,374.95,1.66868475E8,392.94,1.63685596E8,-17.99,3182879.0,17.99,3182879.0
Arkansas,2011,410.96,8.7679614E7,428.86,8.6522632E7,-17.9,1156982.0,17.9,1156982.0
Arkansas,2013,372.36,8.3505131E7,390.26,8.6418404E7,-17.9,-2913273.0,17.9,2913273.0
Washington,1996,349.57,7.2713204E7,367.47,7.4941222E7,-17.9,-2228018.0,17.9,2228018.0
Virginia,1997,309.45,6.0241209E7,327.32,7.5898314E7,-17.87,-1.5657105E7,17.87,1.5657105E7
Virgin Islands,2003,614.22,2729192.0,632.07,2645719.0,-17.85,83473.0,17.85,83473.0
Pennsylvania,2012,374.28,3.25506086E8,392.11,3.26858148E8,-17.83,-1352062.0,17.83,1352062.0
California,2017,370.29,7.30321411E8,388.11,8.03662214E8,-17.82,-7.3340803E7,17.82,7.3340803E7
North Dakota,2018,321.36,7963805.0,339.15,8565793.0,-17.79,-601988.0,17.79,601988.0
Ohio,1993,383.36,2.05620274E8,401.12,2.12830295E8,-17.76,-7210021.0,17.76,7210021.0
Arkansas,2025,334.53,4.2504742E7,352.29,4.4226871E7,-17.76,-1722129.0,17.76,1722129.0
Connecticut,2014,328.63,8.0683025E7,346.38,8.1612014E7,-17.75,-928989.0,17.75,928989.0
Pennsylvania,2018,290.31,2.77132132E8,308.04,2.93565131E8,-17.73,-1.6432999E7,17.73,1.6432999E7
Nevada,2011,380.66,6.1102119E7,398.39,5.4581994E7,-17.73,6520125.0,17.73,6520125.0
Georgia,2013,398.22,3.60755382E8,415.92,3.72092151E8,-17.7,-1.1336769E7,17.7,1.1336769E7
Hawaii,2011,624.7,5.1045082E7,642.37,4.6226215E7,-17.67,4818867.0,17.67,4818867.0
Missouri,1993,381.36,9.0196679E7,398.96,8.7564138E7,-17.6,2632541.0,17.6,2632541.0
Illinois,1993,403.13,1.99735336E8,420.57,2.0531879E8,-17.44,-5583454.0,17.44,5583454.0
South Carolina,2012,392.83,1.62045995E8,410.24,1.62751529E8,-17.41,-705534.0,17.41,705534.0
Connecticut,1998,285.64,2.6157416E7,303.05,2.8397559E7,-17.41,-2240143.0,17.41,2240143.0
Illinois,2012,400.6,3.76724331E8,418.01,3.66158347E8,-17.41,1.0565984E7,17.41,1.0565984E7
Georgia,2002,358.65,9.8752747E7,341.26,8.2320856E7,17.39,1.6431891E7,17.39,1.6431891E7
Arizona,2011,425.75,2.01220802E8,443.11,1.99043502E8,-17.36,2177300.0,17.36,2177300.0
Idaho,1994,351.36,1.0416429E7,368.72,1.0817964E7,-17.36,-401535.0,17.36,401535.0
New Mexico,1994,409.01,3.5509219E7,426.33,3.6484441E7,-17.32,-975222.0,17.32,975222.0
Virginia,2018,318.59,1.11296608E8,335.91,1.21547741E8,-17.32,-1.0251133E7,17.32,1.0251133E7
Kentucky,2012,378.36,1.54136054E8,395.64,1.53344324E8,-17.28,791730.0,17.28,791730.0
Texas,1997,396.56,2.81397045E8,413.82,3.56301682E8,-17.26,-7.4904637E7,17.26,7.4904637E7
Vermont,1991,295.02,6380322.0,277.76,4912830.0,17.26,1467492.0,17.26,1467492.0
Rhode Island,1990,320.34,9392481.0,303.24,7678509.0,17.1,1713972.0,17.1,1713972.0
Kansas,2025,360.68,3.3487661E7,377.76,3.5090827E7,-17.08,-1603166.0,17.08,1603166.0
Florida,1998,324.76,1.38132933E8,341.84,1.66290751E8,-17.08,-2.8157818E7,17.08,2.8157818E7
Colorado,1993,394.2,4.2495188E7,411.28,4.282398E7,-17.08,-328792.0,17.08,328792.0
Maryland,2000,309.0,3.0706847E7,326.07,3.6417289E7,-17.07,-5710442.0,17.07,5710442.0
Florida,2003,297.3,1.52770987E8,280.26,1.3530757E8,17.04,1.7463417E7,17.04,1.7463417E7
Colorado,2003,337.99,3.1767797E7,320.95,2.6053504E7,17.04,5714293.0,17.04,5714293.0
Mississippi,2012,387.85,1.16731587E8,404.88,1.12669618E8,-17.03,4061969.0,17.03,4061969.0
North Dakota,2023,381.4,8761259.0,364.4,8551147.0,17.0,210112.0,17.0,210112.0
Montana,2002,329.45,8981086.0,312.46,8357688.0,16.99,623398.0,16.99,623398.0
Michigan,2002,298.34,1.00123763E8,281.42,8.3172534E7,16.92,1.6951229E7,16.92,1.6951229E7
Mississippi,2011,404.88,1.12669618E8,421.73,1.07028797E8,-16.85,5640821.0,16.85,5640821.0
Maryland,2013,343.6,1.36922147E8,360.42,1.32264412E8,-16.82,4657735.0,16.82,4657735.0
Wisconsin,1993,333.51,4.1585227E7,350.32,4.4920108E7,-16.81,-3334881.0,16.81,3334881.0
West Virginia,2008,318.87,4.0343347E7,302.09,3.6489707E7,16.78,3853640.0,16.78,3853640.0
North Dakota,1998,297.83,4170218.0,314.61,4765918.0,-16.78,-595700.0,16.78,595700.0
Texas,2013,406.65,6.75991118E8,423.39,7.04446515E8,-16.74,-2.8455397E7,16.74,2.8455397E7
California,2016,388.11,8.03662214E8,404.8,8.54093081E8,-16.69,-5.0430867E7,16.69,5.0430867E7
Massachusetts,2002,276.93,3.2510996E7,260.26,2.7714634E7,16.67,4796362.0,16.67,4796362.0
Indiana,1997,350.44,4.8315218E7,367.08,5.5464418E7,-16.64,-7149200.0,16.64,7149200.0
Nebraska,2024,377.31,2.8732214E7,360.69,2.782553E7,16.62,906684.0,16.62,906684.0
Massachusetts,2012,332.97,1.62250978E8,349.58,1.58882427E8,-16.61,3368551.0,16.61,3368551.0
Colorado,2017,345.94,7.6631349E7,362.52,8.1325611E7,-16.58,-4694262.0,16.58,4694262.0
Washington,2018,270.94,1.34776263E8,287.5,1.48297486E8,-16.56,-1.3521223E7,16.56,1.3521223E7
Washington,1992,373.63,6.7881124E7,357.09,5.848289E7,16.54,9398234.0,16.54,9398234.0
Nebraska,1997,297.73,1.1943575E7,314.25,1.3304287E7,-16.52,-1360712.0,16.52,1360712.0
South Carolina,2019,348.28,8.8611824E7,331.77,9.936515E7,16.51,-1.0753326E7,16.51,1.0753326E7
Washington,2019,254.45,1.24913416E8,270.94,1.34776263E8,-16.49,-9862847.0,16.49,9862847.0
Mississippi,2008,344.32,6.5916326E7,327.83,5.9708099E7,16.49,6208227.0,16.49,6208227.0
Connecticut,1990,290.56,1.6280492E7,274.09,1.2180463E7,16.47,4100029.0,16.47,4100029.0
California,2012,466.62,8.47081424E8,483.08,8.02230529E8,-16.46,4.4850895E7,16.46,4.4850895E7
North Carolina,2001,314.42,6.9510107E7,298.01,6.1264612E7,16.41,8245495.0,16.41,8245495.0
Ohio,2025,367.39,2.70314955E8,383.78,2.76064276E8,-16.39,-5749321.0,16.39,5749321.0
Montana,2023,344.57,1.4728629E7,328.25,1.4674288E7,16.32,54341.0,16.32,54341.0
Indiana,1991,452.42,6.2783748E7,436.1,4.9457544E7,16.32,1.3326204E7,16.32,1.3326204E7
Massachusetts,2000,256.33,2.7668266E7,272.59,3.2479599E7,-16.26,-4811333.0,16.26,4811333.0
Wisconsin,2012,343.25,1.38425271E8,359.48,1.36791986E8,-16.23,1633285.0,16.23,1633285.0
Idaho,1990,402.79,8444762.0,386.57,8097933.0,16.22,346829.0,16.22,346829.0
Delaware,1998,329.22,5388895.0,345.43,6551410.0,-16.21,-1162515.0,16.21,1162515.0
South Carolina,2017,342.84,1.13375863E8,359.04,1.28480278E8,-16.2,-1.5104415E7,16.2,1.5104415E7
South Dakota,1997,365.4,6368906.0,381.56,7006656.0,-16.16,-637750.0,16.16,637750.0
Massachusetts,1997,291.95,4.2362979E7,308.1,4.9821262E7,-16.15,-7458283.0,16.15,7458283.0
Idaho,1992,389.48,1.0350677E7,405.58,9796308.0,-16.1,554369.0,16.1,554369.0
Vermont,2018,279.33,1.1343081E7,295.43,1.2350149E7,-16.1,-1007068.0,16.1,1007068.0
Nebraska,1993,333.6,1.5130389E7,349.66,1.5192866E7,-16.06,-62477.0,16.06,62477.0
Wyoming,1993,396.04,4939609.0,412.09,5117274.0,-16.05,-177665.0,16.05,177665.0
Montana,1992,390.85,1.0177695E7,406.88,9561184.0,-16.03,616511.0,16.03,616511.0
Kentucky,2013,362.34,1.51803793E8,378.36,1.54136054E8,-16.02,-2332261.0,16.02,2332261.0
Delaware,2014,356.84,2.5464509E7,372.85,2.7003714E7,-16.01,-1539205.0,16.01,1539205.0
Maine,2018,260.96,2.2959556E7,276.97,2.5556041E7,-16.01,-2596485.0,16.01,2596485.0
Pennsylvania,2013,358.28,3.13666059E8,374.28,3.25506086E8,-16.0,-1.1840027E7,16.0,1.1840027E7
Delaware,1996,376.82,8152465.0,392.79,8226367.0,-15.97,-73902.0,15.97,73902.0
Nevada,2006,307.23,1.6773172E7,323.2,1.7732338E7,-15.97,-959166.0,15.97,959166.0
Florida,2008,310.99,2.47679738E8,295.04,1.9136183E8,15.95,5.6317908E7,15.95,5.6317908E7
North Carolina,1991,378.68,8.0148474E7,362.76,6.2124825E7,15.92,1.8023649E7,15.92,1.8023649E7
Idaho,2013,405.52,3.9251137E7,421.44,4.2030475E7,-15.92,-2779338.0,15.92,2779338.0
New Hampshire,1989,274.76,2958043.0,258.86,2393100.0,15.9,564943.0,15.9,564943.0
Nevada,1994,361.42,1.6156091E7,377.31,1.6337361E7,-15.89,-181270.0,15.89,181270.0
Nevada,2012,364.79,6.2245888E7,380.66,6.1102119E7,-15.87,1143769.0,15.87,1143769.0
Vermont,1993,283.88,7380819.0,299.72,7169988.0,-15.84,210831.0,15.84,210831.0
New Hampshire,2017,267.42,1.2120689E7,283.24,1.3446278E7,-15.82,-1325589.0,15.82,1325589.0
Iowa,2002,324.31,2.0135944E7,308.52,1.7207812E7,15.79,2928132.0,15.79,2928132.0
New Jersey,1992,408.69,8.4883944E7,424.45,7.7235468E7,-15.76,7648476.0,15.76,7648476.0
Kansas,2018,309.43,3.0852094E7,325.18,3.4500209E7,-15.75,-3648115.0,15.75,3648115.0
Arkansas,2002,355.52,4.1150612E7,339.79,3.5728247E7,15.73,5422365.0,15.73,5422365.0
Virginia,1995,337.86,7.9765425E7,353.57,8.2563055E7,-15.71,-2797630.0,15.71,2797630.0
Missouri,2000,310.07,5.7151882E7,325.77,5.7010084E7,-15.7,141798.0,15.7,141798.0
Vermont,2022,485.72,1.9919481E7,470.04,1.8401427E7,15.68,1518054.0,15.68,1518054.0
New Hampshire,2018,251.75,1.0713851E7,267.42,1.2120689E7,-15.67,-1406838.0,15.67,1406838.0
Utah,2006,349.84,1.8661553E7,365.49,1.9688553E7,-15.65,-1027000.0,15.65,1027000.0
Arkansas,2006,348.45,5.5369812E7,364.07,5.6741177E7,-15.62,-1371365.0,15.62,1371365.0
Arizona,1990,455.26,5.3156534E7,439.66,4.1499144E7,15.6,1.165739E7,15.6,1.165739E7
North Carolina,1999,328.14,7.2509633E7,312.55,6.8400643E7,15.59,4108990.0,15.59,4108990.0
South Dakota,2023,421.22,1.4857437E7,405.64,1.3742775E7,15.58,1114662.0,15.58,1114662.0
Florida,2001,275.91,1.20677705E8,291.48,1.21030125E8,-15.57,-352420.0,15.57,352420.0
Wyoming,2002,342.72,3342291.0,327.17,2997980.0,15.55,344311.0,15.55,344311.0
Nebraska,2003,317.16,1.4001556E7,301.62,1.1662379E7,15.54,2339177.0,15.54,2339177.0
Georgia,1991,418.55,1.07807915E8,403.02,8.3990323E7,15.53,2.3817592E7,15.53,2.3817592E7
Nebraska,1990,330.16,1.2499666E7,314.66,1.1389835E7,15.5,1109831.0,15.5,1109831.0
Louisiana,1995,411.59,1.09208979E8,427.08,1.16971338E8,-15.49,-7762359.0,15.49,7762359.0
Missouri,2018,333.14,1.1231367E8,348.62,1.22238074E8,-15.48,-9924404.0,15.48,9924404.0
New Mexico,2012,408.53,7.9692445E7,423.96,7.8009025E7,-15.43,1683420.0,15.43,1683420.0
Alaska,2004,537.69,1.0232127E7,522.28,9043396.0,15.41,1188731.0,15.41,1188731.0
Vermont,1997,271.19,6552689.0,286.58,7416135.0,-15.39,-863446.0,15.39,863446.0
Massachusetts,1998,276.58,3.5826296E7,291.95,4.2362979E7,-15.37,-6536683.0,15.37,6536683.0
Kansas,2012,375.76,5.4549167E7,391.11,5.476137E7,-15.35,-212203.0,15.35,212203.0
Arizona,2017,354.08,1.43908825E8,369.41,1.56776257E8,-15.33,-1.2867432E7,15.33,1.2867432E7
Indiana,1990,436.1,4.9457544E7,420.79,4.2084432E7,15.31,7373112.0,15.31,7373112.0
Maryland,2012,360.42,1.32264412E8,375.72,1.27397439E8,-15.3,4866973.0,15.3,4866973.0
Virgin Islands,2002,632.07,2645719.0,616.81,2662436.0,15.26,-16717.0,15.26,16717.0
Ohio,2024,383.78,2.76064276E8,399.02,2.88827272E8,-15.24,-1.2762996E7,15.24,1.2762996E7
Tennessee,1990,379.79,8.0466621E7,364.55,7.1045112E7,15.24,9421509.0,15.24,9421509.0
Texas,2017,391.69,6.77364592E8,376.48,6.03090386E8,15.21,7.4274206E7,15.21,7.4274206E7
Nevada,1992,391.31,1.4904786E7,406.52,1.2146022E7,-15.21,2758764.0,15.21,2758764.0
South Carolina,2001,323.16,4.3950955E7,307.98,3.7658666E7,15.18,6292289.0,15.18,6292289.0
Oklahoma,1993,377.05,5.5506144E7,392.22,5.4453824E7,-15.17,1052320.0,15.17,1052320.0
Idaho,2003,352.56,1.1827742E7,337.41,9800069.0,15.15,2027673.0,15.15,2027673.0
Nebraska,2018,322.33,2.4341086E7,337.42,2.6438141E7,-15.09,-2097055.0,15.09,2097055.0
Mississippi,2013,372.77,1.13797632E8,387.85,1.16731587E8,-15.08,-2933955.0,15.08,2933955.0
Oklahoma,2013,381.72,1.10170311E8,396.78,1.11452357E8,-15.06,-1282046.0,15.06,1282046.0
Virgin Islands,2001,616.81,2662436.0,631.86,3103487.0,-15.05,-441051.0,15.05,441051.0
Hawaii,2018,602.31,5.0127225E7,617.32,5.2645166E7,-15.01,-2517941.0,15.01,2517941.0
Maryland,2008,336.19,5.9126237E7,321.19,4.8463813E7,15.0,1.0662424E7,15.0,1.0662424E7
Wisconsin,2019,281.64,8.1770606E7,266.67,8.6902889E7,14.97,-5132283.0,14.97,5132283.0
Alabama,2002,366.38,6.4560712E7,351.42,5.7643529E7,14.96,6917183.0,14.96,6917183.0
Nebraska,1991,345.11,1.3811765E7,330.16,1.2499666E7,14.95,1312099.0,14.95,1312099.0
Montana,2017,326.89,1.8783757E7,341.82,1.9007754E7,-14.93,-223997.0,14.93,223997.0
Washington,2013,325.3,1.92284338E8,340.23,1.98764351E8,-14.93,-6480013.0,14.93,6480013.0
New Hampshire,2002,258.75,5413821.0,243.84,4496026.0,14.91,917795.0,14.91,917795.0
North Dakota,2013,373.43,9629668.0,388.34,1.0548101E7,-14.91,-918433.0,14.91,918433.0
Tennessee,2002,328.15,8.8052712E7,313.28,7.268892E7,14.87,1.5363792E7,14.87,1.5363792E7
Virgin Islands,1991,725.02,3237190.0,710.16,2834209.0,14.86,402981.0,14.86,402981.0
West Virginia,1997,343.33,3.9697098E7,358.18,4.3127728E7,-14.85,-3430630.0,14.85,3430630.0
Montana,2006,341.97,1.2058425E7,356.82,1.2416913E7,-14.85,-358488.0,14.85,358488.0
