state,year,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Colorado,2024,359.97,1.14719906E8,386.79,1.16355988E8,-26.82,-1636082.0,26.82,1636082.0
Iowa,2012,361.66,6.9979887E7,388.45,6.939037E7,-26.79,589517.0,26.79,589517.0
Nevada,2014,324.94,6.3178738E7,351.7,6.2024264E7,-26.76,1154474.0,26.76,1154474.0
Washington,1997,322.83,6.1419023E7,349.57,7.2713204E7,-26.74,-1.1294181E7,26.74,1.1294181E7
New Hampshire,2008,312.93,1.0188534E7,286.23,8382925.0,26.7,1805609.0,26.7,1805609.0
Oklahoma,2014,355.02,9.7567474E7,381.72,1.10170311E8,-26.7,-1.2602837E7,26.7,1.2602837E7
Pennsylvania,2014,331.71,2.96865363E8,358.28,3.13666059E8,-26.57,-1.6800696E7,26.57,1.6800696E7
New Mexico,1993,426.33,3.6484441E7,452.86,3.5935462E7,-26.53,548979.0,26.53,548979.0
Colorado,2018,319.43,7.1288838E7,345.94,7.6631349E7,-26.51,-5342511.0,26.51,5342511.0
Massachusetts,2008,291.6,8.1873833E7,265.09,6.4754218E7,26.51,1.7119615E7,26.51,1.7119615E7
Washington,2024,323.43,1.67626875E8,349.93,1.78632032E8,-26.5,-1.1005157E7,26.5,1.1005157E7
Michigan,1990,342.89,1.34533803E8,316.4,1.15835524E8,26.49,1.8698279E7,26.49,1.8698279E7
Idaho,2012,421.44,4.2030475E7,447.87,4.4265892E7,-26.43,-2235417.0,26.43,2235417.0
Alaska,2022,792.52,2.994548E7,766.11,3.1691125E7,26.41,-1745645.0,26.41,1745645.0
North Carolina,1990,362.76,6.2124825E7,336.36,5.2246516E7,26.4,9878309.0,26.4,9878309.0
Massachusetts,1991,319.01,5.6652686E7,292.62,4.5708235E7,26.39,1.0944451E7,26.39,1.0944451E7
Rhode Island,2010,399.86,3.0821588E7,426.21,2.408624E7,-26.35,6735348.0,26.35,6735348.0
Georgia,1990,403.02,8.3990323E7,376.69,6.9682541E7,26.33,1.4307782E7,26.33,1.4307782E7
North Carolina,2017,314.47,2.1749004E8,340.77,2.61156128E8,-26.3,-4.3666088E7,26.3,4.3666088E7
West Virginia,2013,338.08,5.6835826E7,364.25,6.0070621E7,-26.17,-3234795.0,26.17,3234795.0
Alaska,1990,637.68,5508802.0,611.57,5317624.0,26.11,191178.0,26.11,191178.0
Oklahoma,2011,416.38,1.14504127E8,442.45,1.14339374E8,-26.07,164753.0,26.07,164753.0
Minnesota,2011,340.66,8.6250265E7,366.66,7.9732793E7,-26.0,6517472.0,26.0,6517472.0
South Carolina,2025,397.86,1.07862442E8,423.83,1.21932019E8,-25.97,-1.4069577E7,25.97,1.4069577E7
Utah,2002,340.61,1.2667028E7,314.64,1.047631E7,25.97,2190718.0,25.97,2190718.0
Georgia,2011,437.87,3.56173551E8,463.82,3.30056453E8,-25.95,2.6117098E7,25.95,2.6117098E7
Guam,2019,717.12,1.0476633E7,743.05,1.1482866E7,-25.93,-1006233.0,25.93,1006233.0
Utah,1993,383.45,1.8190598E7,409.26,1.8562904E7,-25.81,-372306.0,25.81,372306.0
Mississippi,2014,346.96,1.04427318E8,372.77,1.13797632E8,-25.81,-9370314.0,25.81,9370314.0
Ohio,2014,347.64,2.91944721E8,373.44,3.31660103E8,-25.8,-3.9715382E7,25.8,3.9715382E7
California,1992,358.66,3.5420945E8,332.87,2.83043704E8,25.79,7.1165746E7,25.79,7.1165746E7
Arkansas,1990,382.24,3.3430468E7,356.47,2.9682081E7,25.77,3748387.0,25.77,3748387.0
Guam,2016,768.78,1.1871916E7,794.39,1.2410785E7,-25.61,-538869.0,25.61,538869.0
Minnesota,1995,309.52,4.0121873E7,335.13,4.4590359E7,-25.61,-4468486.0,25.61,4468486.0
Guam,2017,743.18,1.1310684E7,768.78,1.1871916E7,-25.6,-561232.0,25.6,561232.0
North Dakota,2025,359.58,1.0237102E7,385.15,9896359.0,-25.57,340743.0,25.57,340743.0
Wyoming,2019,361.11,3762609.0,335.59,4262056.0,25.52,-499447.0,25.52,499447.0
North Carolina,2024,367.04,2.62207363E8,392.49,3.10859943E8,-25.45,-4.865258E7,25.45,4.865258E7
South Dakota,2011,446.17,1.970126E7,471.62,1.9445179E7,-25.45,256081.0,25.45,256081.0
Alaska,2014,542.82,1.9598626E7,568.26,2.1652837E7,-25.44,-2054211.0,25.44,2054211.0
Florida,2011,371.7,6.32124525E8,397.14,5.77628855E8,-25.44,5.449567E7,25.44,5.449567E7
Georgia,2014,372.8,3.23809935E8,398.22,3.60755382E8,-25.42,-3.6945447E7,25.42,3.6945447E7
Texas,2024,425.4,6.39141601E8,450.81,6.77467074E8,-25.41,-3.8325473E7,25.41,3.8325473E7
New York,2024,374.98,6.49505093E8,400.37,6.71089815E8,-25.39,-2.1584722E7,25.39,2.1584722E7
Wyoming,2018,335.59,4262056.0,360.94,5001803.0,-25.35,-739747.0,25.35,739747.0
New York,1992,362.48,3.17706214E8,337.16,2.69794227E8,25.32,4.7911987E7,25.32,4.7911987E7
North Dakota,2014,348.12,8671568.0,373.43,9629668.0,-25.31,-958100.0,25.31,958100.0
Kentucky,2014,337.06,1.32279233E8,362.34,1.51803793E8,-25.28,-1.952456E7,25.28,1.952456E7
Massachusetts,2022,487.43,3.06257054E8,462.15,2.63633214E8,25.28,4.262384E7,25.28,4.262384E7
South Carolina,2002,348.41,5.6240171E7,323.16,4.3950955E7,25.25,1.2289216E7,25.25,1.2289216E7
Pennsylvania,2024,338.66,3.68388571E8,363.87,3.77672499E8,-25.21,-9283928.0,25.21,9283928.0
Wisconsin,1991,418.81,4.3036841E7,393.6,3.8430566E7,25.21,4606275.0,25.21,4606275.0
Colorado,2002,320.95,2.6053504E7,295.75,2.1096608E7,25.2,4956896.0,25.2,4956896.0
Missouri,2023,411.55,1.34591881E8,386.36,1.25419831E8,25.19,9172050.0,25.19,9172050.0
Ohio,2002,334.25,1.14324046E8,309.13,9.3082353E7,25.12,2.1241693E7,25.12,2.1241693E7
Montana,2018,301.78,1.6677277E7,326.89,1.8783757E7,-25.11,-2106480.0,25.11,2106480.0
Maryland,1997,351.68,5.2048414E7,376.72,6.1154478E7,-25.04,-9106064.0,25.04,9106064.0
Hawaii,1993,565.32,2.5506332E7,590.36,2.4078833E7,-25.04,1427499.0,25.04,1427499.0
Rhode Island,1995,371.22,1.4785672E7,346.2,1.396798E7,25.02,817692.0,25.02,817692.0
Virgin Islands,1993,699.43,3697833.0,724.42,3638135.0,-24.99,59698.0,24.99,59698.0
Kentucky,2000,314.16,5.2851414E7,339.13,5.4929268E7,-24.97,-2077854.0,24.97,2077854.0
Maine,2011,360.2,4.6164591E7,385.07,4.5186364E7,-24.87,978227.0,24.87,978227.0
Montana,2012,380.53,2.2490869E7,405.39,2.3528194E7,-24.86,-1037325.0,24.86,1037325.0
Louisiana,2014,372.81,1.46343077E8,397.65,1.66445275E8,-24.84,-2.0102198E7,24.84,2.0102198E7
Illinois,2011,418.01,3.66158347E8,442.62,3.52637319E8,-24.61,1.3521028E7,24.61,1.3521028E7
Maine,2024,310.16,3.1595482E7,334.75,3.2686799E7,-24.59,-1091317.0,24.59,1091317.0
Vermont,1995,310.02,8150482.0,285.44,8150296.0,24.58,186.0,24.58,186.0
Alabama,2014,360.35,1.51195912E8,384.93,1.62393136E8,-24.58,-1.1197224E7,24.58,1.1197224E7
Ohio,2008,371.1,2.01107821E8,346.55,1.72776365E8,24.55,2.8331456E7,24.55,2.8331456E7
Idaho,2011,447.87,4.4265892E7,472.3,3.9746546E7,-24.43,4519346.0,24.43,4519346.0
New Mexico,2025,333.26,8.3667176E7,357.66,8.936918E7,-24.4,-5702004.0,24.4,5702004.0
Idaho,2008,376.36,1.6332161E7,351.97,1.288057E7,24.39,3451591.0,24.39,3451591.0
Alaska,2012,577.65,2.2121119E7,602.03,2.1762007E7,-24.38,359112.0,24.38,359112.0
Wyoming,2011,415.69,6325316.0,440.05,6572192.0,-24.36,-246876.0,24.36,246876.0
Virginia,1991,382.11,6.8525204E7,357.75,5.3790608E7,24.36,1.4734596E7,24.36,1.4734596E7
Delaware,2004,346.85,8439832.0,371.2,7376936.0,-24.35,1062896.0,24.35,1062896.0
Tennessee,2014,344.07,2.2147702E8,368.34,2.44246108E8,-24.27,-2.2769088E7,24.27,2.2769088E7
Ohio,1997,321.79,1.19714516E8,345.97,1.5394291E8,-24.18,-3.4228394E7,24.18,3.4228394E7
West Virginia,2000,300.31,2.8506392E7,324.45,3.2942567E7,-24.14,-4436175.0,24.14,4436175.0
North Dakota,2012,388.34,1.0548101E7,412.48,1.1456669E7,-24.14,-908568.0,24.14,908568.0
Mississippi,1997,336.38,4.9793804E7,360.46,6.3220752E7,-24.08,-1.3426948E7,24.08,1.3426948E7
New Jersey,1990,405.98,6.3513862E7,382.0,5.3091081E7,23.98,1.0422781E7,23.98,1.0422781E7
Texas,2008,403.16,4.28922108E8,379.23,3.60264377E8,23.93,6.8657731E7,23.93,6.8657731E7
New Mexico,2018,311.3,6.869205E7,335.2,7.2937345E7,-23.9,-4245295.0,23.9,4245295.0
New Jersey,1997,352.7,7.2426815E7,376.55,8.6461173E7,-23.85,-1.4034358E7,23.85,1.4034358E7
Arizona,2014,375.36,1.67892386E8,399.17,1.87739577E8,-23.81,-1.9847191E7,23.81,1.9847191E7
Iowa,2013,337.85,6.7094528E7,361.66,6.9979887E7,-23.81,-2885359.0,23.81,2885359.0
Virginia,2014,337.85,1.46386611E8,361.63,1.65432661E8,-23.78,-1.904605E7,23.78,1.904605E7
Washington,2014,301.53,1.75666464E8,325.3,1.92284338E8,-23.77,-1.6617874E7,23.77,1.6617874E7
Oregon,1997,300.16,3.5118531E7,323.92,4.3415659E7,-23.76,-8297128.0,23.76,8297128.0
Illinois,2014,357.37,3.6905001E8,381.11,3.8855158E8,-23.74,-1.950157E7,23.74,1.950157E7
Kansas,2002,278.23,1.806917E7,254.52,1.4677741E7,23.71,3391429.0,23.71,3391429.0
Maine,2012,336.5,4.4169302E7,360.2,4.6164591E7,-23.7,-1995289.0,23.7,1995289.0
West Virginia,2018,282.01,4.6204954E7,305.69,5.2085113E7,-23.68,-5880159.0,23.68,5880159.0
Virgin Islands,1990,710.16,2834209.0,733.84,4092313.0,-23.68,-1258104.0,23.68,1258104.0
Colorado,2000,284.08,1.959463E7,307.75,2.2949234E7,-23.67,-3354604.0,23.67,3354604.0
West Virginia,1993,392.26,4.9100223E7,415.85,4.9509869E7,-23.59,-409646.0,23.59,409646.0
Vermont,1996,286.58,7416135.0,310.02,8150482.0,-23.44,-734347.0,23.44,734347.0
Maine,1997,294.64,1.6871658E7,318.08,1.9380373E7,-23.44,-2508715.0,23.44,2508715.0
Delaware,2017,322.89,2.29206E7,346.3,2.4754192E7,-23.41,-1833592.0,23.41,1833592.0
Hawaii,1989,531.78,1.6507132E7,555.18,1.728547E7,-23.4,-778338.0,23.4,778338.0
Minnesota,1993,325.01,4.2950277E7,348.36,4.4950532E7,-23.35,-2000255.0,23.35,2000255.0
Nebraska,2023,360.69,2.782553E7,337.35,2.5540546E7,23.34,2284984.0,23.34,2284984.0
Louisiana,2022,561.15,2.26994061E8,584.43,2.55539748E8,-23.28,-2.8545687E7,23.28,2.8545687E7
Alaska,2000,536.46,7196989.0,559.71,7804629.0,-23.25,-607640.0,23.25,607640.0
Ohio,2011,423.66,3.62171659E8,446.91,3.48356026E8,-23.25,1.3815633E7,23.25,1.3815633E7
Oklahoma,2022,532.11,1.72283945E8,555.36,1.62290909E8,-23.25,9993036.0,23.25,9993036.0
Indiana,2008,377.85,1.04638877E8,354.61,9.0795399E7,23.24,1.3843478E7,23.24,1.3843478E7
South Carolina,1989,427.49,4.9495502E7,404.27,3.6065785E7,23.22,1.3429717E7,23.22,1.3429717E7
Utah,2018,355.82,2.7171607E7,379.04,3.0925243E7,-23.22,-3753636.0,23.22,3753636.0
Montana,1990,405.15,8633119.0,381.95,8040212.0,23.2,592907.0,23.2,592907.0
Michigan,2022,524.52,3.8237149E8,501.37,3.49961596E8,23.15,3.2409894E7,23.15,3.2409894E7
Colorado,2004,361.09,3.8461538E7,337.99,3.1767797E7,23.1,6693741.0,23.1,6693741.0
Virgin Islands,1995,714.94,7333001.0,691.87,4383310.0,23.07,2949691.0,23.07,2949691.0
Virgin Islands,2010,648.75,5482335.0,671.78,4609868.0,-23.03,872467.0,23.03,872467.0
South Dakota,2018,350.45,1.384927E7,373.46,1.5290466E7,-23.01,-1441196.0,23.01,1441196.0
Kentucky,1993,393.94,7.8826378E7,416.91,8.2631168E7,-22.97,-3804790.0,22.97,3804790.0
Georgia,2024,411.56,2.93662297E8,388.61,2.84755083E8,22.95,8907214.0,22.95,8907214.0
Hawaii,2025,701.24,5.7982198E7,724.19,6.0962898E7,-22.95,-2980700.0,22.95,2980700.0
Massachusetts,2014,297.86,1.4281775E8,320.81,1.60120207E8,-22.95,-1.7302457E7,22.95,1.7302457E7
Minnesota,1998,314.29,3.0471861E7,291.42,3.0724416E7,22.87,-252555.0,22.87,252555.0
Rhode Island,2012,356.42,3.454577E7,379.28,3.374766E7,-22.86,798110.0,22.86,798110.0
Oklahoma,1990,374.42,4.0285649E7,351.57,3.5838086E7,22.85,4447563.0,22.85,4447563.0
Georgia,1993,390.7,1.24390017E8,413.49,1.22854522E8,-22.79,1535495.0,22.79,1535495.0
Iowa,2014,315.1,6.019586E7,337.85,6.7094528E7,-22.75,-6898668.0,22.75,6898668.0
Mississippi,1993,388.22,7.7457169E7,410.95,8.1238884E7,-22.73,-3781715.0,22.73,3781715.0
Kentucky,2019,345.24,7.5915904E7,322.54,8.8826307E7,22.7,-1.2910403E7,22.7,1.2910403E7
New Mexico,2002,358.63,2.4256661E7,336.05,2.1156333E7,22.58,3100328.0,22.58,3100328.0
Alaska,2015,565.37,1.9386478E7,542.82,1.9598626E7,22.55,-212148.0,22.55,212148.0
New Mexico,2017,335.2,7.2937345E7,357.75,7.8397616E7,-22.55,-5460271.0,22.55,5460271.0
North Carolina,2012,363.63,2.89155222E8,386.06,2.91189703E8,-22.43,-2034481.0,22.43,2034481.0
Kentucky,2025,381.72,1.07987127E8,359.29,1.00898188E8,22.43,7088939.0,22.43,7088939.0
New Mexico,1989,449.58,2.261466E7,471.98,2.2116196E7,-22.4,498464.0,22.4,498464.0
Hawaii,2010,642.37,4.6226215E7,619.98,3.7923152E7,22.39,8303063.0,22.39,8303063.0
Nevada,1990,388.03,9000460.0,365.66,7291611.0,22.37,1708849.0,22.37,1708849.0
Utah,2011,429.17,4.9065205E7,451.51,4.6601173E7,-22.34,2464032.0,22.34,2464032.0
Maine,2014,300.53,3.5800169E7,322.85,4.1739088E7,-22.32,-5938919.0,22.32,5938919.0
California,2011,483.08,8.02230529E8,505.33,7.32230513E8,-22.25,7.0000016E7,22.25,7.0000016E7
Indiana,2011,436.41,1.68853632E8,458.63,1.64085541E8,-22.22,4768091.0,22.22,4768091.0
Guam,1991,926.3,3086029.0,904.12,3027605.0,22.18,58424.0,22.18,58424.0
North Dakota,1993,354.7,6632817.0,376.87,6885663.0,-22.17,-252846.0,22.17,252846.0
Maryland,2003,334.38,3.9394211E7,312.26,3.3547456E7,22.12,5846755.0,22.12,5846755.0
District of Columbia,1993,381.96,1.5566958E7,359.86,1.3934652E7,22.1,1632306.0,22.1,1632306.0
District of Columbia,1999,354.12,1.3180732E7,376.18,1.4098298E7,-22.06,-917566.0,22.06,917566.0
North Carolina,2002,336.46,8.4608253E7,314.42,6.9510107E7,22.04,1.5098146E7,22.04,1.5098146E7
Alaska,2010,642.44,2.0275633E7,664.44,1.7568959E7,-22.0,2706674.0,22.0,2706674.0
Hawaii,2012,602.73,5.4764294E7,624.7,5.1045082E7,-21.97,3719212.0,21.97,3719212.0
Georgia,2012,415.92,3.72092151E8,437.87,3.56173551E8,-21.95,1.59186E7,21.95,1.59186E7
Delaware,2011,397.17,2.5521716E7,419.08,2.2409859E7,-21.91,3111857.0,21.91,3111857.0
Oregon,2014,295.81,1.32588815E8,317.71,1.43110445E8,-21.9,-1.052163E7,21.9,1.052163E7
Nevada,2002,338.52,1.5218815E7,316.69,1.1089282E7,21.83,4129533.0,21.83,4129533.0
Louisiana,2019,369.46,1.27274273E8,347.64,1.38279112E8,21.82,-1.1004839E7,21.82,1.1004839E7
District of Columbia,2000,332.3,1.175514E7,354.12,1.3180732E7,-21.82,-1425592.0,21.82,1425592.0
Maryland,2014,321.79,1.29927929E8,343.6,1.36922147E8,-21.81,-6994218.0,21.81,6994218.0
Hawaii,1990,553.56,1.7609432E7,531.78,1.6507132E7,21.78,1102300.0,21.78,1102300.0
