date,state,households,participation,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
2013-11-01,Alabama,422903,911698,363.57,1.53754226E8,391.92,1.6643879E8,-28.35,-1.2684564E7,28.35,1.2684564E7
1990-10-01,Nebraska,37510,94494,345.02,1.29419E7,316.67,1.1797683E7,28.35,1144217.0,28.35,1144217.0
1992-08-01,Maryland,151185,355947,411.77,6.2253243E7,440.11,6.234066E7,-28.34,-87417.0,28.34,87417.0
1991-08-01,Nebraska,40039,100980,362.77,1.4525228E7,334.43,1.3315378E7,28.34,1209850.0,28.34,1209850.0
1998-08-01,Vermont,14683,28072,238.25,3498370.0,266.51,5797258.0,-28.26,-2298888.0,28.26,2298888.0
2022-03-01,Hawaii,96178,173054,903.15,8.6863212E7,931.41,8.8661178E7,-28.26,-1797966.0,28.26,1797966.0
2000-09-01,Indiana,132415,310282,297.61,3.9409255E7,325.87,4.2868523E7,-28.26,-3459268.0,28.26,3459268.0
2014-10-01,Guam,15482,47543,811.37,1.256165E7,783.16,1.2055116E7,28.21,506534.0,28.21,506534.0
2013-11-01,Arizona,460719,1072133,380.54,1.75322966E8,408.74,1.91733828E8,-28.2,-1.6410862E7,28.2,1.6410862E7
2011-04-01,New Jersey,370723,756462,386.62,1.43328008E8,414.8,1.51769472E8,-28.18,-8441464.0,28.18,8441464.0
2013-11-01,Oklahoma,291499,627722,356.99,1.04062054E8,385.15,1.129143E8,-28.16,-8852246.0,28.16,8852246.0
2024-09-01,Illinois,1051385,1914881,371.18,3.9024866E8,343.04,3.61287102E8,28.14,2.8961558E7,28.14,2.8961558E7
2020-12-01,Arkansas,164724,351931,495.2,8.1572536E7,467.1,8.2442965E7,28.1,-870429.0,28.1,870429.0
1991-10-01,Illinois,481966,1140226,437.96,2.11082687E8,409.86,1.9538758E8,28.1,1.5695107E7,28.1,1.5695107E7
2021-10-01,Maine,92435,163358,508.56,4.7008865E7,480.46,4.3591887E7,28.1,3416978.0,28.1,3416978.0
2015-05-01,Guam,15586,47023,791.41,1.2335035E7,819.49,1.2473422E7,-28.08,-138387.0,28.08,138387.0
1990-10-01,Vermont,18081,41327,291.47,5270005.0,263.44,4611054.0,28.03,658951.0,28.03,658951.0
2011-07-01,Massachusetts,454985,825084,341.52,1.5538256E8,369.55,1.68891521E8,-28.03,-1.3508961E7,28.03,1.3508961E7
2022-03-01,New Mexico,271538,525010,543.92,1.47692759E8,515.92,1.44466327E8,28.0,3226432.0,28.0,3226432.0
1994-10-01,Oregon,127242,281025,357.8,4.5526534E7,329.82,4.120065E7,27.98,4325884.0,27.98,4325884.0
1998-02-01,Wisconsin,77585,200121,295.03,2.2889444E7,323.01,2.5434708E7,-27.98,-2545264.0,27.98,2545264.0
