date,state,households,participation,per_person,per_household,total_cost,inflation_rate,true_person,true_total_cost
1988-10-01,Connecticut,40621,108805,105.59,39.42,4289088,120.2,285.32,1.1589815E7
1988-11-01,Connecticut,40988,109264,105.91,39.73,4341000,120.3,285.95,1.1720338E7
1988-12-01,Connecticut,41109,109456,105.55,39.64,4339230,120.5,284.5,1.1696115E7
1989-01-01,Connecticut,42033,111600,102.58,38.64,4311901,121.1,275.13,1.1564867E7
1989-02-01,Connecticut,42598,112990,104.39,39.36,4446846,121.6,278.83,1.1877759E7
1989-03-01,Connecticut,42639,113145,104.97,39.56,4475884,122.3,278.78,1.1886893E7
1989-04-01,Connecticut,43758,115559,105.04,39.77,4596316,123.1,277.15,1.2127404E7
1989-05-01,Connecticut,43888,115480,100.63,38.24,4416458,123.8,264.01,1.1586959E7
1989-06-01,Connecticut,43654,115283,101.08,38.28,4412559,124.1,264.55,1.1548744E7
1989-07-01,Connecticut,43782,115384,97.59,37.03,4272833,124.4,254.8,1.1156078E7
1989-08-01,Connecticut,44817,117896,96.03,36.5,4303634,124.6,250.33,1.1218461E7
1989-09-01,Connecticut,44530,117600,96.71,36.62,4306483,125.0,251.29,1.1189965E7
1988-10-01,Maine,35691,80656,110.65,48.96,3949167,120.2,298.99,1.0671293E7
1988-11-01,Maine,35523,79715,108.5,48.35,3854081,120.3,292.94,1.0405698E7
1988-12-01,Maine,36521,82620,109.34,48.33,3993273,120.5,294.72,1.076361E7
1989-01-01,Maine,37527,85204,104.4,45.98,3918004,121.1,280.01,1.0508404E7
1989-02-01,Maine,38190,87143,106.31,46.59,4059842,121.6,283.96,1.0844051E7
1989-03-01,Maine,38831,88446,107.07,47.01,4157698,122.3,284.35,1.1041866E7
1989-04-01,Maine,37810,86138,106.6,46.79,4030647,123.1,281.26,1.0634883E7
1989-05-01,Maine,37962,87082,108.94,47.49,4135647,123.8,285.81,1.0850227E7
1989-06-01,Maine,37246,84467,106.89,47.13,3981065,124.1,279.76,1.0419419E7
1989-07-01,Maine,37044,84003,107.56,47.43,3984375,124.4,280.83,1.0402934E7
1989-08-01,Maine,37248,84185,108.57,48.04,4044079,124.6,283.01,1.0541869E7
1989-09-01,Maine,36679,82356,106.58,47.47,3909383,125.0,276.94,1.015814E7
1988-10-01,Massachusetts,132536,307086,95.78,41.34,12694704,120.2,258.81,3.430316E7
1988-11-01,Massachusetts,134248,310775,94.12,40.66,12634941,120.3,254.12,3.4113288E7
1988-12-01,Massachusetts,134235,310443,94.0,40.64,12617735,120.5,253.37,3.4010292E7
1989-01-01,Massachusetts,134952,312101,93.95,40.62,12679005,121.1,251.98,3.4006117E7
1989-02-01,Massachusetts,135869,313456,93.95,40.72,12765451,121.6,250.95,3.4097191E7
1989-03-01,Massachusetts,137442,316444,93.64,40.67,12870119,122.3,248.69,3.4180003E7
1989-04-01,Massachusetts,136394,313306,93.59,40.74,12764700,123.1,246.94,3.3679728E7
1989-05-01,Massachusetts,135932,312177,94.29,41.06,12816860,123.8,247.38,3.3626138E7
1989-06-01,Massachusetts,138951,319111,91.85,39.99,12762528,124.1,240.39,3.3402651E7
1989-07-01,Massachusetts,137767,316846,93.35,40.59,12860360,124.4,243.73,3.357753E7
1989-08-01,Massachusetts,138948,319841,94.4,41.01,13117013,124.6,246.08,3.4192662E7
1989-09-01,Massachusetts,139995,322345,93.87,40.77,13141710,125.0,243.91,3.4147418E7
1988-10-01,New Hampshire,9044,18851,95.04,45.6,859573,120.2,256.81,2322706.0
1988-11-01,New Hampshire,9183,19254,95.18,45.39,874033,120.3,256.98,2359816.0
1988-12-01,New Hampshire,9501,20037,97.49,46.23,926299,120.5,262.78,2496779.0
1989-01-01,New Hampshire,9918,21170,96.36,45.14,955701,121.1,258.45,2563267.0
1989-02-01,New Hampshire,10221,22066,100.51,46.55,1027265,121.6,268.47,2743879.0
1989-03-01,New Hampshire,10652,23227,102.86,47.17,1095618,122.3,273.17,2909703.0
1989-04-01,New Hampshire,10535,23016,101.41,46.42,1068405,123.1,267.57,2818992.0
1989-05-01,New Hampshire,10535,23095,101.56,46.33,1069983,123.8,266.45,2807193.0
1989-06-01,New Hampshire,10497,22602,99.0,45.98,1039151,124.1,259.11,2719712.0
1989-07-01,New Hampshire,10588,22687,97.03,45.29,1027405,124.4,253.34,2682485.0
1989-08-01,New Hampshire,10782,23222,99.93,46.4,1077409,124.6,260.49,2808527.0
1989-09-01,New Hampshire,10735,23168,99.01,45.87,1062821,125.0,257.27,2761634.0
1988-10-01,New York,651778,1494329,119.85,52.28,78118270,120.2,323.85,2.11088301E8
1988-11-01,New York,649541,1484397,120.07,52.54,77989550,120.3,324.18,2.10565289E8
1988-12-01,New York,651857,1493627,120.68,52.67,78667519,120.5,325.29,2.1204323E8
1989-01-01,New York,659846,1502222,116.98,51.38,77191353,121.1,313.75,2.0703345E8
1989-02-01,New York,636215,1438246,121.66,53.82,77404538,121.6,324.96,2.0675159E8
1989-03-01,New York,656503,1468033,118.88,53.16,78044711,122.3,315.72,2.07268361E8
1989-04-01,New York,657658,1468739,118.13,52.89,77687835,123.1,311.69,2.04979758E8
1989-05-01,New York,656260,1468158,118.08,52.78,77491383,123.8,309.79,2.03305328E8
1989-06-01,New York,659489,1463751,116.91,52.67,77101621,124.1,305.98,2.01793762E8
1989-07-01,New York,635120,1410743,120.64,54.31,76619674,124.4,314.98,2.00048785E8
1989-08-01,New York,638620,1409738,121.01,54.82,77278501,124.6,315.44,2.01445076E8
1989-09-01,New York,650229,1448317,118.37,53.14,76970150,125.0,307.57,1.9999923E8
1988-10-01,Rhode Island,24568,55993,99.3,43.57,2439607,120.2,268.32,6592216.0
1988-11-01,Rhode Island,24471,55483,100.73,44.43,2465037,120.3,271.96,6655395.0
1988-12-01,Rhode Island,24610,55830,101.16,44.59,2489636,120.5,272.67,6710653.0
1989-01-01,Rhode Island,24844,56501,118.39,52.06,2941379,121.1,317.53,7889016.0
1989-02-01,Rhode Island,24975,56738,118.56,52.19,2961093,121.6,316.68,7909235.0
1989-03-01,Rhode Island,25318,57668,119.33,52.39,3021171,122.3,316.91,8023518.0
1989-04-01,Rhode Island,25176,57408,119.48,52.4,3008134,123.1,315.25,7936977.0
1989-05-01,Rhode Island,25010,56822,116.63,51.33,2916881,123.8,305.99,7652689.0
1989-06-01,Rhode Island,25104,57123,117.02,51.43,2937789,124.1,306.27,7688911.0
1989-07-01,Rhode Island,25010,57001,99.61,43.71,2491229,124.4,260.07,6504430.0
1989-08-01,Rhode Island,25339,57680,99.16,43.56,2512512,124.6,258.48,6549469.0
1989-09-01,Rhode Island,25340,57958,95.92,41.94,2430580,125.0,249.24,6315619.0
1988-10-01,Vermont,14317,31736,95.38,43.03,1365506,120.2,257.73,3689820.0
1988-11-01,Vermont,14807,33185,97.48,43.49,1443324,120.3,263.19,3896855.0
1988-12-01,Vermont,15201,34182,97.24,43.25,1478206,120.5,262.1,3984409.0
1989-01-01,Vermont,15113,33746,95.74,42.88,1446893,121.1,256.78,3880684.0
1989-02-01,Vermont,15594,35413,98.21,43.25,1531514,121.6,262.32,4090754.0
1989-03-01,Vermont,15730,35552,98.36,43.52,1547178,122.3,261.22,4108940.0
1989-04-01,Vermont,15425,34624,95.1,42.37,1466873,123.1,250.92,3870352.0
1989-05-01,Vermont,15529,35140,97.21,42.96,1509500,123.8,255.04,3960303.0
1989-06-01,Vermont,15273,34222,94.55,42.2,1444045,124.1,247.46,3779418.0
1989-07-01,Vermont,15040,33171,90.17,40.88,1356153,124.4,235.43,3540824.0
1989-08-01,Vermont,15321,34092,92.68,41.65,1419955,124.6,241.59,3701456.0
1989-09-01,Vermont,15177,33640,91.21,41.15,1384330,125.0,237.0,3597043.0
1988-10-01,Delaware,10654,28767,138.35,51.24,1473994,120.2,373.84,3982972.0
1988-11-01,Delaware,10670,28810,138.47,51.28,1477507,120.3,373.86,3989146.0
1988-12-01,Delaware,11141,30081,147.69,54.7,1645382,120.5,398.09,4435021.0
1989-01-01,Delaware,10932,29517,148.53,55.01,1623778,121.1,398.37,4355104.0
1989-02-01,Delaware,10931,29512,147.99,54.81,1617662,121.6,395.29,4320860.0
1989-03-01,Delaware,11290,30483,149.69,55.44,1690042,122.3,397.54,4488353.0
1989-04-01,Delaware,11281,30459,142.08,52.62,1602830,123.1,374.88,4229075.0
1989-05-01,Delaware,10926,29501,140.52,52.04,1535362,123.8,368.67,4028155.0
1989-06-01,Delaware,10940,29539,139.88,51.81,1530340,124.1,366.1,4005273.0
1989-07-01,Delaware,10904,29441,139.89,51.81,1525352,124.4,365.24,3982591.0
1989-08-01,Delaware,11217,30286,137.66,50.98,1544118,124.6,358.84,4025116.0
1989-09-01,Delaware,11208,30262,140.68,52.1,1576779,125.0,365.54,4097102.0
1988-10-01,District of Columbia,25414,58940,117.15,50.51,2977234,120.2,316.56,8044972.0
1988-11-01,District of Columbia,25854,59833,117.71,50.86,3043274,120.3,317.81,8216586.0
1988-12-01,District of Columbia,25957,60173,117.85,50.84,3058959,120.5,317.66,8245227.0
1989-01-01,District of Columbia,25252,58175,116.49,50.56,2941496,121.1,312.44,7889330.0
1989-02-01,District of Columbia,25050,57598,116.04,50.47,2906808,121.6,309.95,7764237.0
1989-03-01,District of Columbia,24536,56402,121.03,52.65,2969531,122.3,321.43,7886375.0
1989-04-01,District of Columbia,25361,58583,116.07,50.25,2943552,123.1,306.25,7766577.0
1989-05-01,District of Columbia,25067,58029,115.37,49.84,2892101,123.8,302.68,7587676.0
1989-06-01,District of Columbia,25225,57946,115.48,50.27,2913005,124.1,302.24,7624045.0
1989-07-01,District of Columbia,25174,57983,115.62,50.2,2910572,124.4,301.88,7599307.0
1989-08-01,District of Columbia,25573,58903,116.13,50.42,2969735,124.6,302.72,7741331.0
1989-09-01,District of Columbia,25678,59415,116.16,50.2,2982747,125.0,301.83,7750370.0
1988-10-01,Maryland,104553,246116,139.47,59.25,14581566,120.2,376.87,3.9401769E7
1988-11-01,Maryland,105092,247080,139.25,59.23,14633817,120.3,375.96,3.9510087E7
1988-12-01,Maryland,106723,250104,139.59,59.57,14897526,120.5,376.26,4.0155322E7
1989-01-01,Maryland,106689,249662,136.74,58.43,14588460,121.1,366.75,3.9127429E7
1989-02-01,Maryland,106667,249456,138.35,59.16,14756935,121.6,369.54,3.9416549E7
1989-03-01,Maryland,108075,252499,139.28,59.62,15052988,122.3,369.89,3.9977189E7
1989-04-01,Maryland,106635,249777,138.87,59.28,14807928,123.1,366.41,3.9070795E7
1989-05-01,Maryland,106310,249038,138.66,59.19,14741357,123.8,363.79,3.8675222E7
1989-06-01,Maryland,105978,248137,139.04,59.38,14735293,124.1,363.9,3.8565859E7
1989-07-01,Maryland,105399,246939,134.48,57.4,14174286,124.4,351.12,3.7008102E7
1989-08-01,Maryland,106331,248688,136.23,58.25,14485074,124.6,355.12,3.7758844E7
1989-09-01,Maryland,106060,248276,135.95,58.08,14418769,125.0,353.25,3.7465728E7
1988-10-01,New Jersey,135148,351533,142.36,54.73,19239193,120.2,384.68,5.1987436E7
1988-11-01,New Jersey,134449,348351,141.78,54.72,19062453,120.3,382.79,5.1467035E7
1988-12-01,New Jersey,139492,363346,144.53,55.49,20161067,120.5,389.57,5.4342857E7
1989-01-01,New Jersey,132807,341918,139.31,54.11,18500813,121.1,373.64,4.9620676E7
1989-02-01,New Jersey,136284,351673,141.2,54.72,19243162,121.6,377.15,5.1399497E7
1989-03-01,New Jersey,138154,356461,140.82,54.58,19454319,122.3,373.98,5.1666087E7
1989-04-01,New Jersey,136290,348944,142.08,55.49,19364501,123.1,374.88,5.1093337E7
1989-05-01,New Jersey,135211,345271,140.69,55.1,19023115,123.8,369.11,4.9908783E7
1989-06-01,New Jersey,137963,353913,140.19,54.65,19340435,124.1,366.91,5.0618639E7
1989-07-01,New Jersey,138205,355355,138.92,54.03,19199564,124.4,362.71,5.0128763E7
1989-08-01,New Jersey,139257,357935,139.1,54.12,19370401,124.6,362.6,5.0493628E7
1989-09-01,New Jersey,140617,361026,140.1,54.57,19700263,125.0,364.04,5.1189161E7
1988-10-01,Pennsylvania,385839,916318,121.02,50.96,46693139,120.2,327.02,1.26172474E8
1988-11-01,Pennsylvania,383396,905880,119.45,50.56,45798209,120.3,322.51,1.2365135E8
1988-12-01,Pennsylvania,386907,917300,120.81,50.96,46743232,120.5,325.64,1.25993371E8
1989-01-01,Pennsylvania,388529,920472,120.58,50.9,46848463,121.1,323.41,1.25651366E8
1989-02-01,Pennsylvania,389494,918543,118.93,50.43,46322703,121.6,317.67,1.23730375E8
1989-03-01,Pennsylvania,397452,938790,119.3,50.51,47414444,122.3,316.83,1.2592159E8
1989-04-01,Pennsylvania,393872,930664,118.97,50.35,46858837,123.1,313.9,1.23637286E8
1989-05-01,Pennsylvania,389661,913707,117.47,50.1,45775052,123.8,308.19,1.20094798E8
1989-06-01,Pennsylvania,387954,912119,118.04,50.21,45794272,124.1,308.94,1.19854788E8
1989-07-01,Pennsylvania,387757,911206,117.38,49.95,45516135,124.4,306.47,1.18839549E8
1989-08-01,Pennsylvania,386364,901156,116.53,49.96,45021934,124.6,303.76,1.17360544E8
1989-09-01,Pennsylvania,388003,908116,117.02,50.0,45403896,125.0,304.06,1.17977479E8
1988-10-01,Virginia,134168,325975,126.44,52.04,16963989,120.2,341.66,4.5839464E7
1988-11-01,Virginia,133829,323468,124.76,51.62,16695913,120.3,336.84,4.5077574E7
1988-12-01,Virginia,137888,335433,126.25,51.9,17408543,120.5,340.3,4.6923606E7
1989-01-01,Virginia,138972,337707,125.72,51.74,17471651,121.1,337.19,4.6860381E7
1989-02-01,Virginia,138093,334666,125.76,51.89,17366475,121.6,335.91,4.6386768E7
1989-03-01,Virginia,142370,346190,127.7,52.52,18181301,122.3,339.14,4.8285251E7
1989-04-01,Virginia,140650,341850,127.29,52.37,17903783,123.1,335.86,4.7239225E7
1989-05-01,Virginia,137958,332544,123.44,51.21,17030022,123.8,323.86,4.4679732E7
1989-06-01,Virginia,138041,333138,123.63,51.23,17065745,124.1,323.57,4.466522E7
1989-07-01,Virginia,135991,326986,123.05,51.18,16733785,124.4,321.28,4.3690781E7
1989-08-01,Virginia,136181,325167,122.13,51.15,16632171,124.6,318.36,4.335577E7
1989-09-01,Virginia,136526,327117,124.59,52.0,17009630,125.0,323.73,4.4197821E7
1988-10-01,Virgin Islands,4712,17136,272.23,74.86,1282740,120.2,735.61,3466173.0
1988-11-01,Virgin Islands,4660,16941,267.97,73.71,1248740,120.3,723.5,3371494.0
1988-12-01,Virgin Islands,4685,17108,269.04,73.68,1260442,120.5,725.18,3397440.0
1989-01-01,Virgin Islands,4453,17057,272.52,71.15,1213527,121.1,730.92,3254778.0
1989-02-01,Virgin Islands,4249,15449,262.04,72.07,1113392,121.6,699.92,2973929.0
1989-03-01,Virgin Islands,4407,16052,269.7,74.05,1188572,122.3,716.26,3156567.0
1989-04-01,Virgin Islands,4404,15908,261.81,72.48,1152998,123.1,690.79,3042191.0
1989-05-01,Virgin Islands,4421,15954,254.22,70.45,1123889,123.8,666.97,2948620.0
1989-06-01,Virgin Islands,4499,16185,255.5,71.02,1149484,124.1,668.71,3008480.0
1989-07-01,Virgin Islands,4444,16067,254.07,70.27,1129068,124.4,663.36,2947920.0
1989-08-01,Virgin Islands,4337,15577,253.67,70.63,1100171,124.6,661.25,2867861.0
1989-09-01,Virgin Islands,4394,15894,286.2,79.12,1257572,125.0,743.66,3267675.0
1988-10-01,West Virginia,90828,251290,152.42,55.09,13843918,120.2,411.86,3.7408523E7
1988-11-01,West Virginia,91005,251512,150.56,54.48,13701612,120.3,406.5,3.6993211E7
1988-12-01,West Virginia,94044,260336,151.08,54.58,14208589,120.5,407.23,3.8298336E7
1989-01-01,West Virginia,95260,263668,151.33,54.67,14415980,121.1,405.88,3.8664824E7
1989-02-01,West Virginia,95235,263817,150.88,54.46,14368690,121.6,403.01,3.8379526E7
1989-03-01,West Virginia,96565,267320,150.61,54.41,14543676,122.3,399.98,3.8624576E7
1989-04-01,West Virginia,95594,264332,151.3,54.72,14463659,123.1,399.21,3.816244E7
1989-05-01,West Virginia,94698,260903,148.74,53.99,14085792,123.8,390.23,3.695529E7
1989-06-01,West Virginia,93920,258388,148.84,54.1,13979243,124.1,389.55,3.6587091E7
1989-07-01,West Virginia,93329,256646,148.55,54.02,13864459,124.4,387.85,3.6199164E7
1989-08-01,West Virginia,93907,257470,147.69,53.87,13869313,124.6,384.99,3.6153714E7
1989-09-01,West Virginia,93245,255058,148.45,54.27,13842253,125.0,385.73,3.5967709E7
1988-10-01,Alabama,153002,427623,150.1,53.7,22965304,120.2,405.59,6.2055995E7
1988-11-01,Alabama,153226,426172,146.83,52.79,22498896,120.3,396.43,6.0745145E7
1988-12-01,Alabama,157222,438644,149.04,53.42,23432986,120.5,401.73,6.3162104E7
1989-01-01,Alabama,157389,439131,146.99,52.68,23135266,121.1,394.24,6.2050654E7
1989-02-01,Alabama,155863,432792,144.88,52.18,22581362,121.6,386.98,6.0316005E7
1989-03-01,Alabama,160501,446855,148.9,53.48,23898183,122.3,395.44,6.3467942E7
1989-04-01,Alabama,159180,443095,148.04,53.18,23565051,123.1,390.6,6.217651E7
1989-05-01,Alabama,156525,432744,143.13,51.77,22402959,123.8,375.51,5.8776096E7
1989-06-01,Alabama,158047,438400,145.7,52.52,23026861,124.1,381.33,6.0266916E7
1989-07-01,Alabama,157251,435296,145.59,52.59,22893563,124.4,380.13,5.9773544E7
1989-08-01,Alabama,155922,428280,143.04,52.08,22303667,124.6,372.87,5.8139895E7
1989-09-01,Alabama,158278,437504,147.54,53.38,23351792,125.0,383.37,6.0677294E7
1988-10-01,Florida,252097,646479,148.6,57.95,37460389,120.2,401.54,1.01224078E8
1988-11-01,Florida,255877,655687,146.42,57.14,37464709,120.3,395.32,1.01151594E8
1988-12-01,Florida,257415,660820,146.78,57.18,37783857,120.5,395.64,1.01843953E8
1989-01-01,Florida,257176,658327,144.91,56.61,37268241,121.1,388.66,9.9956436E7
1989-02-01,Florida,254413,649914,145.43,56.93,36999753,121.6,388.45,9.8828285E7
1989-03-01,Florida,261836,669391,145.24,56.81,38028358,122.3,385.72,1.00994357E8
1989-04-01,Florida,259406,663784,143.72,56.17,37281788,123.1,379.21,9.8368192E7
1989-05-01,Florida,259406,663784,143.97,56.26,37346858,123.8,377.72,9.7982704E7
1989-06-01,Florida,264789,677234,143.11,55.95,37892683,124.1,374.55,9.9174401E7
1989-07-01,Florida,267273,683036,143.66,56.21,38395367,124.4,375.09,1.00247706E8
1989-08-01,Florida,271511,691285,145.9,57.3,39612220,124.6,380.32,1.03258818E8
1989-09-01,Florida,271794,695523,146.15,57.11,39723026,125.0,379.76,1.03216307E8
1988-10-01,Georgia,175081,471271,141.14,52.44,24711394,120.2,381.38,6.6774215E7
1988-11-01,Georgia,176160,472450,139.97,52.19,24656448,120.3,377.91,6.6570356E7
1988-12-01,Georgia,177986,478666,141.03,52.44,25100623,120.5,380.14,6.7657112E7
1989-01-01,Georgia,180193,484707,139.91,52.01,25210460,121.1,375.25,6.7616492E7
1989-02-01,Georgia,180719,485068,138.89,51.75,25100771,121.6,370.98,6.7045479E7
1989-03-01,Georgia,185061,496313,139.54,52.03,25824305,122.3,370.59,6.8583269E7
1989-04-01,Georgia,182457,490636,138.68,51.57,25303618,123.1,365.91,6.6763728E7
1989-05-01,Georgia,181538,484619,136.93,51.3,24858708,123.8,359.25,6.5218965E7
1989-06-01,Georgia,181888,486210,137.43,51.41,24997696,124.1,359.69,6.5425072E7
1989-07-01,Georgia,181778,485681,138.12,51.69,25106478,124.4,360.62,6.5551315E7
1989-08-01,Georgia,183051,486762,138.08,51.93,25276551,124.6,359.94,6.5889435E7
1989-09-01,Georgia,184824,493186,138.65,51.96,25625762,125.0,360.27,6.6585977E7
1988-10-01,Kentucky,164938,459197,152.8,54.88,25201866,120.2,412.89,6.8099551E7
1988-11-01,Kentucky,166995,462370,150.14,54.23,25072035,120.3,405.37,6.7692406E7
1988-12-01,Kentucky,159539,439995,159.41,57.8,25431719,120.5,429.68,6.854956E7
1989-01-01,Kentucky,161102,445493,158.75,57.41,25574268,121.1,425.78,6.8592255E7
1989-02-01,Kentucky,159827,445242,160.92,57.76,25719252,121.6,429.83,6.8697474E7
1989-03-01,Kentucky,161043,447854,161.83,58.19,26061414,122.3,429.78,6.9212974E7
1989-04-01,Kentucky,157576,435621,162.61,58.82,25624043,123.1,429.05,6.7609171E7
1989-05-01,Kentucky,163795,454845,151.21,54.45,24768141,123.8,396.71,6.4981355E7
1989-06-01,Kentucky,155399,428771,156.89,56.86,24380187,124.1,410.62,6.38089E7
1989-07-01,Kentucky,162103,448071,148.19,53.61,24022435,124.4,386.91,6.2720953E7
1989-08-01,Kentucky,162502,446171,148.75,54.18,24172281,124.6,387.75,6.3010888E7
1989-09-01,Kentucky,162454,445038,147.35,53.79,23937780,125.0,382.87,6.2199925E7
1988-10-01,Mississippi,169841,500756,159.69,54.16,27121383,120.2,431.51,7.3286398E7
1988-11-01,Mississippi,168030,484082,155.03,53.81,26049951,120.3,418.57,7.0332698E7
1988-12-01,Mississippi,171032,493742,156.43,54.19,26755277,120.5,421.65,7.2117126E7
1989-01-01,Mississippi,171771,496345,155.8,53.92,26762505,121.1,417.87,7.1779202E7
1989-02-01,Mississippi,170071,488052,153.87,53.62,26169079,121.6,410.99,6.9898986E7
1989-03-01,Mississippi,173583,503603,158.72,54.71,27551437,122.3,421.52,7.3170124E7
1989-04-01,Mississippi,173336,500030,156.95,54.41,27205019,123.1,414.11,7.1780584E7
1989-05-01,Mississippi,171655,487295,150.28,52.94,25796596,123.8,394.27,6.7679595E7
1989-06-01,Mississippi,172452,493098,152.67,53.39,26328445,124.1,399.57,6.8907967E7
1989-07-01,Mississippi,172264,491564,152.94,53.6,26346699,124.4,399.32,6.8789449E7
1989-08-01,Mississippi,170625,483489,150.76,53.2,25722617,124.6,392.99,6.7052213E7
1989-09-01,Mississippi,173351,492254,155.36,54.71,26931175,125.0,403.69,6.9977962E7
1988-10-01,North Carolina,149943,382152,124.89,49.0,18726684,120.2,337.47,5.0602553E7
1988-11-01,North Carolina,150085,380125,122.13,48.22,18330266,120.3,329.74,4.9490191E7
1988-12-01,North Carolina,155045,394734,124.52,48.91,19305584,120.5,335.64,5.2036958E7
1989-01-01,North Carolina,156163,397705,122.4,48.06,19114658,121.1,328.29,5.1267058E7
1989-02-01,North Carolina,154760,392795,121.85,48.01,18856738,121.6,325.47,5.0367338E7
1989-03-01,North Carolina,158005,403366,126.29,49.47,19954989,122.3,335.4,5.2995748E7
1989-04-01,North Carolina,156714,400036,125.24,49.06,19626298,123.1,330.45,5.178409E7
1989-05-01,North Carolina,153138,387923,122.03,48.17,18687913,123.8,320.16,4.9029352E7
1989-06-01,North Carolina,153463,389584,121.89,48.01,18705737,124.1,319.02,4.895748E7
1989-07-01,North Carolina,152545,386258,121.98,48.17,18607796,124.4,318.48,4.8583696E7
1989-08-01,North Carolina,151860,381299,121.15,48.25,18397931,124.6,315.81,4.795865E7
1989-09-01,North Carolina,153261,387675,126.41,49.97,19373243,125.0,328.46,5.0339433E7
1988-10-01,South Carolina,89005,254754,150.65,52.64,13408974,120.2,407.08,3.6233234E7
1988-11-01,South Carolina,88480,252294,148.4,52.05,13130809,120.3,400.67,3.5452091E7
1988-12-01,South Carolina,90137,257557,150.28,52.59,13545874,120.5,405.07,3.6512031E7
1989-01-01,South Carolina,89811,256582,148.76,52.07,13360640,121.1,398.99,3.5834317E7
1989-02-01,South Carolina,89265,254076,146.51,51.47,13078213,121.6,391.34,3.4932594E7
1989-03-01,South Carolina,90916,260314,151.59,52.94,13781593,122.3,402.59,3.6600663E7
1989-04-01,South Carolina,90182,258107,150.49,52.58,13571604,123.1,397.07,3.5808748E7
1989-05-01,South Carolina,91210,258857,143.08,50.42,13050583,123.8,375.38,3.423933E7
1989-06-01,South Carolina,89530,254993,148.28,52.06,13275358,124.1,388.08,3.4744852E7
1989-07-01,South Carolina,90412,252258,145.61,52.19,13165228,124.4,380.18,3.437352E7
1989-08-01,South Carolina,88393,249251,147.51,52.31,13038458,124.6,384.52,3.398789E7
1989-09-01,South Carolina,152276,455486,136.74,45.71,20821711,125.0,355.31,5.4103132E7
1988-10-01,Tennessee,187236,488284,136.94,52.51,25639842,120.2,370.03,6.9283033E7
1988-11-01,Tennessee,189293,493024,135.43,52.0,25636190,120.3,365.65,6.9215578E7
1988-12-01,Tennessee,191606,498908,135.89,52.19,26037571,120.5,366.28,7.0182595E7
1989-01-01,Tennessee,193198,503090,135.66,52.1,26208661,121.1,363.85,7.0293748E7
1989-02-01,Tennessee,195232,508793,136.28,52.29,26605891,121.6,364.01,7.1065733E7
1989-03-01,Tennessee,198404,516716,136.16,52.28,27015300,122.3,361.61,7.1746271E7
1989-04-01,Tennessee,194784,505933,135.87,52.31,26466266,123.1,358.49,6.9831381E7
1989-05-01,Tennessee,193141,499506,134.07,51.84,25894310,123.8,351.74,6.7935956E7
1989-06-01,Tennessee,191597,494960,133.66,51.74,25608712,124.1,349.82,6.702425E7
1989-07-01,Tennessee,191692,494625,134.08,51.96,25702533,124.4,350.07,6.7107575E7
1989-08-01,Tennessee,193989,500159,133.34,51.72,25866412,124.6,347.58,6.742705E7
1989-09-01,Tennessee,192551,495958,133.37,51.78,25680303,125.0,346.55,6.6727697E7
1988-10-01,Illinois,405572,1001115,152.26,61.68,61751319,120.2,411.43,1.66862131E8
1988-11-01,Illinois,403977,994391,151.37,61.5,61151560,120.3,408.69,1.65104118E8
1988-12-01,Illinois,406688,1000315,151.21,61.48,61495363,120.5,407.58,1.6575679E8
1989-01-01,Illinois,405536,1000856,151.68,61.46,61511212,121.1,406.82,1.64978044E8
1989-02-01,Illinois,402533,989760,150.35,61.15,60520326,121.6,401.59,1.61652972E8
1989-03-01,Illinois,408940,1006559,152.64,62.01,62421196,122.3,405.38,1.65775987E8
1989-04-01,Illinois,404400,995251,150.72,61.24,60951709,123.1,397.68,1.60821402E8
1989-05-01,Illinois,401886,986623,150.05,61.12,60302296,123.8,393.67,1.58208276E8
1989-06-01,Illinois,400685,985369,149.87,60.94,60052475,124.1,392.25,1.57171985E8
1989-07-01,Illinois,395337,974221,150.03,60.88,59310838,124.4,391.72,1.54856585E8
1989-08-01,Illinois,396289,973376,151.52,61.69,60045518,124.6,394.97,1.56523144E8
1989-09-01,Illinois,393671,966160,151.9,61.89,59797867,125.0,394.7,1.55378772E8
1988-10-01,Indiana,99171,284804,154.77,53.89,15349092,120.2,418.21,4.1475749E7
1988-11-01,Indiana,97659,278625,151.5,53.1,14795186,120.3,409.04,3.994577E7
1988-12-01,Indiana,99796,286316,152.81,53.26,15249574,120.5,411.89,4.1104244E7
1989-01-01,Indiana,101160,289993,153.08,53.4,15485672,121.1,410.57,4.1533824E7
1989-02-01,Indiana,100790,288336,153.02,53.49,15423064,121.6,408.72,4.1195815E7
1989-03-01,Indiana,103223,296964,170.26,59.18,17574973,122.3,452.17,4.6674987E7
1989-04-01,Indiana,101681,291987,155.87,54.28,15849003,123.1,411.26,4.1817677E7
1989-05-01,Indiana,98203,280395,152.2,53.31,14946493,123.8,399.31,3.9213414E7
1989-06-01,Indiana,98354,281484,153.07,53.49,15055267,124.1,400.62,3.9403309E7
1989-07-01,Indiana,96816,276276,152.89,53.58,14802528,124.4,399.19,3.8648399E7
1989-08-01,Indiana,99098,282643,152.83,53.58,15145005,124.6,398.39,3.9479113E7
1989-09-01,Indiana,99476,283865,151.79,53.19,15099040,125.0,394.41,3.9233344E7
1988-10-01,Michigan,357198,863842,114.66,47.41,40955350,120.2,309.83,1.10668033E8
1988-11-01,Michigan,356694,858718,118.6,49.26,42304519,120.3,320.21,1.14218678E8
